"","PitchId","BatterId","PitcherId","PitcherHand","BatterSide","HomeTeamId","AwayTeamId","PitchCall","PitchType","ReleaseSpeed","PlateX","TrajectoryLocationY","PlateZ","StrikeZoneTop","StrikeZoneBottom","Balls","Strikes","VerticalBreak","InducedVerticalBreak","HorzBreak","VertApproachAngle","HorzApproachAngle","LaunchSpeed","LaunchAngle","LaunchSpinAxis","LaunchDirection","LaunchSpinRate","LandingPositionX","LandingPositionY","LandingPositionZ"
"256",256,5,6,"R","L",115,119,"stolen_base_2b","CU",80.4502334594727,-0.470284134149551,1.41666662693024,1.51177883148193,3.08734250068665,1.42922580242157,2,0,-3.74808859825134,-0.291347980499268,-0.963898301124573,-9.38309383392334,-1.33487904071808,NA,NA,NA,NA,NA,NA,NA,NA
"257",257,5,6,"R","L",115,119,"called_strike","CU",80.1506805419922,-0.63957953453064,1.41666662693024,2.08318042755127,3.28318285942078,1.52999997138977,3,0,-3.68673992156982,-0.197598621249199,-0.940161764621735,-8.70760822296143,-1.40049242973328,NA,NA,NA,NA,NA,NA,NA,NA
"258",258,5,6,"R","L",115,119,"field_out","SL",90.3758087158203,-0.156836003065109,1.41666662693024,2.11459636688232,3.37100005149841,1.5349999666214,3,1,-2.29906177520752,0.432227075099945,-0.559421122074127,-7.11827516555786,-1.18698906898499,98.4072265625,41.0894165039062,162.377136230469,-13.4307928085327,3811.359375,-168.829162597656,324.11962890625,0.0198723953217268
"259",259,9,6,"R","R",115,119,"swinging_strike","SL",87.5640563964844,1.31059420108795,1.41666662693024,1.68246519565582,3.41100001335144,1.56500005722046,0,0,-2.9967029094696,-0.0754769295454025,-0.669441223144531,-8.39453887939453,-2.74804162979126,NA,NA,NA,NA,NA,NA,NA,NA
"260",260,9,6,"R","R",115,119,"ball","CU",83.0009536743164,1.33893692493439,1.41666662693024,0.967756867408752,3.59332418441772,1.82271182537079,0,1,-3.05694913864136,0.214696794748306,-1.25294589996338,-9.13450527191162,-3.51209473609924,NA,NA,NA,NA,NA,NA,NA,NA
"261",261,9,6,"R","R",115,119,"swinging_strike","SL",89.9072799682617,1.3148992061615,1.41666662693024,1.26223373413086,3.41100001335144,1.56500005722046,1,1,-2.60441780090332,0.182568430900574,-0.481129556894302,-8.304856300354,-2.95245718955994,NA,NA,NA,NA,NA,NA,NA,NA
"262",262,9,6,"R","R",115,119,"foul","FF",95.098762512207,1.04857468605042,1.41666662693024,2.69765853881836,3.41100001335144,1.56500005722046,1,2,-1.58474469184875,0.90247368812561,-0.14198200404644,-5.62424945831299,-1.98407626152039,80.317008972168,42.8361320495605,230.665054321289,128.709030151367,7513.72119140625,171.13688659668,-198.0751953125,0.00874893274158239
"263",263,9,6,"R","R",115,119,"ball","SL",88.2128295898438,-0.544165670871735,1.41666662693024,3.07866382598877,3.39359879493713,1.66178917884827,1,2,-2.66557788848877,0.193282172083855,-0.495092481374741,-6.56070947647095,-0.603049278259277,NA,NA,NA,NA,NA,NA,NA,NA
"264",264,9,6,"R","R",115,119,"foul","CU",80.9140243530273,-0.300936907529831,1.41666662693024,2.46735692024231,3.41100001335144,1.56500005722046,2,2,-3.46837735176086,-0.0328393578529358,-1.42022895812988,-8.15433216094971,-1.97506928443909,NA,NA,NA,NA,NA,NA,NA,NA
"265",265,9,6,"R","R",115,119,"double","SI",94.5297775268555,0.48697230219841,1.41666662693024,2.83514189720154,3.41100001335144,1.56500005722046,2,2,-1.58066082000732,0.965653836727142,0.616173088550568,-5.46102094650269,-0.839589238166809,104.236946105957,7.12755918502808,258.368927001953,11.1269130706787,1108.69287109375,40.3300170898438,161.953186035156,-0.00143658055458218
"266",266,21,6,"R","R",115,119,"blocked_ball","SL",88.4555969238281,1.57425439357758,1.41666662693024,0.0341750495135784,3.37354779243469,1.5,0,0,-2.38197207450867,0.472509801387787,-0.407510608434677,-9.34006977081299,-2.9845724105835,NA,NA,NA,NA,NA,NA,NA,NA
"267",267,21,6,"R","R",115,119,"ball","SL",88.0272521972656,1.3571629524231,1.41666662693024,1.06656348705292,3.36151885986328,1.6396906375885,1,0,-2.67078495025635,0.215070262551308,-0.32831472158432,-8.52726936340332,-2.67003655433655,NA,NA,NA,NA,NA,NA,NA,NA
"268",268,21,6,"R","R",115,119,"ball","SL",89.5661163330078,0.859782516956329,1.41666662693024,1.36736714839935,3.34449505805969,1.58949744701385,2,0,-2.56403708457947,0.216232046484947,-0.483648061752319,-8.11567211151123,-2.3771960735321,NA,NA,NA,NA,NA,NA,NA,NA
"269",269,21,6,"R","R",115,119,"called_strike","SL",88.1060943603516,0.721591591835022,1.41666662693024,2.35678553581238,3.35952854156494,1.5,3,0,-2.60855531692505,0.249009922146797,-0.506688296794891,-7.15234994888306,-2.2002854347229,NA,NA,NA,NA,NA,NA,NA,NA
"270",270,21,6,"R","R",115,119,"foul","CU",81.8407821655273,0.752010464668274,1.41666662693024,1.89987730979919,3.30100011825562,1.50399994850159,3,1,-3.25498032569885,0.0851888209581375,-1.00887322425842,-8.38051986694336,-2.83084011077881,71.3073120117188,72.3085250854492,248.829208374023,103.108055114746,7382.0732421875,123.930770874023,-69.1794738769531,0.0174144152551889
"271",271,21,6,"R","R",115,119,"field_out","SL",89.0866317749023,-0.205895289778709,1.41666662693024,2.56620049476624,3.30100011825562,1.50399994850159,3,2,-2.50880813598633,0.286294788122177,-0.573063850402832,-6.67706537246704,-1.49401414394379,97.4529724121094,39.6643142700195,184.603912353516,-5.93479299545288,3445.84716796875,-14.489218711853,379.489044189453,-0.015415939502418
"272",272,8,7,"R","L",115,119,"ball","FF",93.9206771850586,-0.57903254032135,1.41666662693024,1.15650677680969,3.53729391098022,1.61316502094269,0,0,-1.44840443134308,1.10958969593048,0.307889223098755,-6.25715303421021,-2.1083071231842,NA,NA,NA,NA,NA,NA,NA,NA
"273",273,8,7,"R","L",115,119,"swinging_strike","FF",93.8146057128906,0.273264586925507,1.41666662693024,3.3720064163208,3.46700000762939,1.58899998664856,1,0,-1.40060842037201,1.16726112365723,-0.11475020647049,-3.92015242576599,-3.35545301437378,NA,NA,NA,NA,NA,NA,NA,NA
"274",274,8,7,"R","L",115,119,"foul","FF",93.6867446899414,0.139630705118179,1.41666662693024,2.33956575393677,3.46700000762939,1.58899998664856,1,1,-1.32409799098969,1.24133539199829,-0.077783465385437,-4.98831129074097,-3.05379605293274,77.2042770385742,49.6750602722168,133.710479736328,-81.7906799316406,5246.76513671875,-224.098678588867,-45.1270141601562,-0.0161776468157768
