,hc_x,hc_y
772,136.91,158.03
996,115.77,124.23
650,127.43,71.99
955,92.92,78.26
1050,132.85,186.83
1640,104.78,63.41
1814,42.31,122.53
1181,156.33,167.3
1487,83.88,92.02
1590,106.14,170.84
2739,10.36,84.82
1708,149.73,138.4
2245,82.36,40.78
2711,184.32,114.5
3400,141.62,173.38
3914,80.56,51.74
3309,91.26,163.3
3670,80.75,160.27
4029,98.79,168.82
4383,129.91,195.95
2209,143.4,150.06
2928,176.95,87.86
3240,168.83,62.47
3090,201.65,107.35
3908,97.67,154.21
3365,120.58,143.47
3738,156.78,149.06
194,107.17,64.08
480,102.02,137.25
2768,97.77,160.2
3025,195.3,132.97
3431,208.2,55.85
549,65.27,110.64
606,124.05,148.61
711,110.95,157.66
100,139.78,100.93
206,141.88,158.68
778,125.81,200.83
847,132.39,194.87
1017,196.65,116.54
346,110.95,146.0
395,136.47,136.29
589,97.82,151.77
1051,137.77,110.28
1258,67.6,99.49
670,146.44,150.57
976,161.57,28.47
1049,147.96,150.57
1362,150.5,160.71
1461,98.46,112.23
1470,162.72,59.02
1680,98.79,165.27
1099,156.07,167.8
1153,100.28,162.44
1222,121.09,61.05
2720,160.63,166.79
1447,107.4,148.54
1844,125.58,187.8
2889,98.28,175.41
3566,94.14,157.82
4024,89.06,66.37
4188,74.52,118.64
3307,159.62,114.57
3449,103.86,167.8
1049,158.25,157.21
1289,195.92,63.38
982,207.03,103.98
991,74.75,65.13
1076,232.94,70.18
1236,187.25,96.12
1004,167.26,106.65
1092,147.23,82.24
1141,142.75,97.32
1335,142.12,161.72
796,104.27,148.72
868,136.43,188.38
1023,197.33,127.99
908,165.26,156.49
994,156.43,157.21
1151,113.37,145.69
1232,112.76,139.02
1280,155.83,50.54
1356,86.08,109.31
1336,110.0,63.0
35,191.74,122.93
175,127.54,54.27
44,151.57,171.16
55,144.42,158.98
149,140.05,188.14
157,127.6,94.11
242,125.5,180.26
185,112.16,169.34
231,122.97,100.9
369,119.43,185.72
486,191.42,117.85
505,134.92,162.3
319,99.48,128.47
405,183.11,97.18
633,134.8,186.59
673,148.54,158.43
527,126.02,189.09
647,186.14,112.95
658,70.53,117.87
704,153.74,164.8
760,165.67,39.37
733,156.66,194.16
777,169.99,52.46
766,124.81,165.27
863,201.08,113.85
907,153.39,166.92
961,158.46,139.88
1200,111.66,138.85
1013,167.01,172.82
1134,101.05,173.43
865,113.82,124.01
1276,55.61,130.11
853,106.83,105.24
962,118.34,192.34
1322,79.08,122.3
1067,113.15,185.53
1122,131.3,197.63
1231,138.39,91.55
926,73.82,157.7
1085,103.76,166.62
12,185.72,116.36
15,107.1,151.64
34,148.46,174.08
114,107.1,166.17
150,142.2,173.43
173,161.54,85.52
46,110.73,153.46
86,125.54,43.89
203,115.57,150.43
268,70.12,95.59
364,139.6,73.57
411,114.97,186.14
174,236.12,84.85
212,115.57,161.93
243,122.83,161.33
261,153.63,90.48
415,152.48,155.88
455,199.06,113.97
479,86.68,80.7
282,94.05,91.28
299,103.88,154.16
501,142.2,147.41
597,180.87,71.89
375,150.25,177.31
465,191.7,137.01
521,104.68,162.54
600,59.93,89.87
636,140.49,94.63
650,154.3,190.37
732,142.2,149.22
546,82.29,106.26
617,161.68,101.59
694,152.48,152.85
849,187.43,105.46
887,120.41,165.56
1373,89.06,72.63
798,111.02,129.84
861,107.1,161.33
1167,75.12,139.3
1229,74.65,133.36
1377,105.89,152.25
1051,69.56,122.21
1170,133.24,190.65
1312,156.14,166.87
892,141.12,147.02
999,155.95,167.92
1301,158.86,160.2
1113,106.22,129.81
263,158.36,153.1
1389,125.4,104.43
735,166.66,104.28
806,82.66,79.86
834,46.95,65.21
925,44.83,108.18
1163,189.93,185.78
340,205.0,84.16
363,62.6,98.41
413,107.66,152.09
441,49.88,63.08
72,181.27,130.29
77,147.59,137.02
110,119.34,142.18
677,64.07,74.91
160,100.0,67.25
241,144.32,145.47
779,143.16,73.49
977,108.44,140.72
296,129.46,148.54
378,114.24,123.3
1257,37.81,96.03
115,125.92,201.16
260,142.45,124.05
391,192.42,105.57
422,156.33,154.62
435,79.86,150.75
451,146.19,152.09
286,129.97,87.2
337,66.09,106.97
348,195.87,88.72
500,129.02,150.29
530,140.13,63.73
598,153.29,153.1
548,163.62,48.63
618,171.43,102.51
657,53.42,104.94
665,103.1,163.24
696,198.41,125.73
717,171.89,109.33
1340,157.96,168.69
855,138.44,45.77
1012,91.34,60.35
1168,102.82,153.74
765,202.43,105.92
1077,162.31,78.56
1162,102.59,168.32
826,103.16,85.54
969,171.5,105.38
1315,179.1,121.86
1224,100.45,169.96
1354,78.17,56.42
1055,67.05,111.12
1355,109.08,165.89
1395,201.87,126.19
939,123.78,199.63
983,216.15,102.84
1132,164.92,84.92
1235,111.62,183.69
1286,151.33,188.46
6,157.22,24.59
14,132.89,68.27
52,86.58,107.48
928,205.5,115.55
1072,134.45,154.7
60,158.13,43.1
63,186.31,57.7
69,50.31,126.36
85,105.02,169.96
189,117.76,168.42
237,81.34,160.13
306,188.19,103.15
333,99.44,124.19
398,176.06,114.53
379,167.75,128.57
489,92.33,183.69
445,104.51,163.35
519,172.73,115.02
542,187.08,104.75
595,125.99,191.82
751,80.99,92.76
622,144.6,162.33
654,114.33,82.3
682,156.78,141.91
1101,85.1,88.44
1227,166.57,55.41
1349,107.56,173.52
729,129.89,190.3
759,87.26,78.94
860,142.06,165.89
1060,84.59,157.16
195,137.58,181.07
223,105.38,155.13
349,140.88,131.57
1323,63.31,99.37
374,67.23,81.83
439,136.3,94.8
494,164.88,108.82
538,92.57,80.12
547,109.94,173.89
580,173.08,52.08
791,131.23,182.5
1155,167.23,159.18
619,184.95,116.51
661,129.6,183.99
1275,75.47,127.75
940,149.49,151.07
1046,175.62,98.7
1209,84.11,129.9
816,119.57,157.66
951,127.99,171.76
1071,107.41,158.17
1164,127.69,219.01
1344,106.39,99.36
568,71.53,109.16
672,111.46,165.78
712,111.05,69.06
768,112.49,147.83
812,114.0,126.74
859,90.17,113.05
1320,68.55,69.29
154,188.85,126.24
1000,127.69,182.0
1104,111.46,177.94
1191,125.53,195.61
18,77.12,156.76
54,187.51,117.61
82,172.81,173.38
288,202.62,100.42
302,187.7,61.26
472,78.51,119.14
593,113.49,155.13
190,108.93,172.37
395,98.22,152.38
659,154.05,166.79
701,31.55,98.15
780,100.04,87.3
429,104.37,168.31
492,158.98,69.12
537,191.96,137.25
611,135.65,185.66
624,116.03,97.84
829,103.35,164.25
1165,184.0,108.72
