,index,PitchId,BatterId,PitcherId,PitcherHand,BatterSide,PitchCall,PitchType,ReleaseSpeed,PlateX,TrajectoryLocationY,PlateZ,StrikeZoneTop,StrikeZoneBottom,Balls,Strikes,VerticalBreak,InducedVerticalBreak,HorzBreak,VertApproachAngle,HorzApproachAngle,LaunchSpeed,LaunchAngle,LaunchSpinAxis,LaunchDirection,LaunchSpinRate,LandingPositionX,LandingPositionY,LandingPositionZ,barrel,Outs_Generated,PitchResult,slg,inning_outs,Inning,Inning_Top_Bottom,At_Bat_Num
28,29,30,6,2,R,L,field_out,FF,94.0,11.124269485473636,1.41666662693024,29.220150947570758,3.49000000953674,1.60099995136261,2,2,-1.46390783786774,13.03618955612184,5.4165855646133405,-5.24972152709961,-3.96121549606323,65.79,-22.07,336.640563964844,2.74082589149475,425.815155029297,1.23009979724884,6.42695569992065,0.0022266637533903,Other,1,Out,0,1,1,Bottom,1
29,30,31,7,2,R,R,ball,FF,93.5,17.240186691284162,1.41666662693024,21.63286828994748,3.44961142539978,1.57999312877655,0,0,-1.37613224983215,14.65956974029536,5.252567410469052,-5.82053852081299,-4.52711343765259,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Bottom,1
30,31,32,7,2,R,R,swinging_strike,SL,85.3,8.203687191009516,1.41666662693024,28.071856498718276,3.37100005149841,1.5349999666214,1,0,-2.58766674995422,6.076057434082033,-3.3257668018341118,-6.40961647033691,-4.90735340118408,0.0,None,,,,,,,Other,0,Not In-Play,0,1,1,Bottom,1
31,32,33,7,2,R,R,foul,FF,93.4,0.3117169439792628,1.41666662693024,35.172849655151396,3.37100005149841,1.5349999666214,1,1,-1.47044658660889,13.50228309631344,7.914841175079348,-4.60711860656738,-2.90763926506042,77.67,17.07,195.245269775391,164.693023681641,708.542114257812,47.1034317016602,-177.739807128906,-0.009601354598999,Other,0,Not In-Play,0,1,1,Bottom,1
32,33,34,7,2,R,R,strikeout,CH,87.7,-0.5991556495428083,1.41666662693024,11.773848295211796,3.37100005149841,1.5349999666214,1,2,-2.74705028533936,2.153000235557556,12.35097885131832,-8.1113977432251,-2.36462116241455,0.0,None,,,,,,,Other,1,Out,0,2,1,Bottom,1
33,34,35,8,2,R,L,foul,FF,94.0,18.43208312988276,1.41666662693024,29.22568988800044,3.46700000762939,1.58899998664856,0,0,-1.51423919200897,12.5021953582764,6.356371164321899,-5.30224990844727,-4.54675102233887,80.1,-25.73,180.0,111.609855651855,3307.26196289062,5.89859771728516,-1.61319386959076,0.0087564028799533,Other,0,Not In-Play,0,2,1,Bottom,1
34,35,36,8,2,R,L,called_strike,CH,85.9,-7.491808176040644,1.41666662693024,20.39551162719732,3.49304437637329,1.62611711025238,0,1,-2.67313599586487,4.406080484390256,10.803215503692623,-7.29112958908081,-1.9097238779068,0.0,None,,,,,,,Other,0,Not In-Play,0,2,1,Bottom,1
35,36,37,8,2,R,L,foul,FF,94.4,-1.891851603984828,1.41666662693024,34.80287933349612,3.46700000762939,1.58899998664856,0,2,-1.51982486248016,12.017261981964118,7.190586090087888,-4.64301490783691,-2.79992985725403,78.58,14.91,340.098510742188,-167.430999755859,7188.94970703125,-26.0003929138184,-100.748687744141,-0.0070432885549962,Other,0,Not In-Play,0,2,1,Bottom,1
36,37,38,8,2,R,L,field_out,FF,94.6,-2.311274886131292,1.41666662693024,39.28460884094244,3.46700000762939,1.58899998664856,0,2,-1.58071887493134,11.368306159973148,8.558212995529177,-4.40385818481445,-2.52521944046021,79.78,28.85,157.297286987305,-25.0286674499512,1953.39074707031,-157.686660766602,241.889114379883,0.0201792325824499,Other,1,Out,0,3,1,Bottom,1
37,38,39,9,1,L,R,double,KC,78.3,-3.4411711692809996,1.41666662693024,22.195153713226322,3.41100001335144,1.56500005722046,0,0,-4.15135526657104,-6.007354259490972,-0.4407779127359388,-8.89683628082275,2.18196201324463,106.03,15.41,95.4095230102539,-30.8509998321533,7708.296875,-155.963638305664,205.806427001953,0.0086090276017785,Other,0,Hit,2,0,2,Top,1
38,39,40,10,1,L,R,ball,SI,90.8,22.968976020813,1.41666662693024,28.45316791534428,3.36450719833374,1.5,0,0,-2.26884913444519,5.40876173973084,-14.618240833282439,-6.07344913482666,-1.0973345041275,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
39,40,41,10,1,L,R,ball,CH,85.4,16.01494073867796,1.41666662693024,22.20338201522832,3.32214570045471,1.5,1,0,-2.86703300476074,2.576807320117956,-12.63364505767824,-7.30224323272705,-0.408025771379471,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
40,41,42,10,1,L,R,called_strike,CH,86.1,12.372503757476759,1.41666662693024,28.32055950164796,3.28999996185303,1.5,2,0,-2.6628897190094,4.457525968551636,-13.589445590972879,-6.69192981719971,-0.281472146511078,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
41,42,43,10,1,L,R,foul,FF,91.9,-7.227641344070436,1.41666662693024,26.593909263610804,3.30100011825562,1.50399994850159,2,1,-1.51776027679443,13.93271255493168,-7.840715646743772,-5.74349975585938,1.68615317344666,68.16,30.34,233.519729614258,65.7795104980469,5221.07666015625,203.514892578125,56.2733993530273,-0.0162013825029135,Other,0,Not In-Play,0,0,2,Top,1
42,43,44,10,1,L,R,single,KC,81.5,0.8670404255390172,1.41666662693024,21.493613719940157,3.30100011825562,1.50399994850159,2,2,-3.96913480758667,-7.374009132385249,2.309544682502748,-8.56208038330078,2.09818482398987,83.13,4.99,264.285186767578,17.0679054260254,1335.15405273438,29.9090175628662,84.111328125,-0.006055403035134,Other,0,Hit,1,0,2,Top,1
43,44,45,11,1,L,L,ball,SI,91.6,7.968204259872433,1.41666662693024,41.01025772094732,3.32778215408325,1.5900000333786,0,0,-2.07659482955933,7.083632469177251,-11.978811979293829,-4.64328050613403,0.314471513032913,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
44,46,47,11,1,L,L,called_strike,SL,87.8,5.203091025352476,1.41666662693024,35.94267082214352,3.3318202495575,1.5900000333786,1,0,-2.32774424552917,6.821817398071284,3.182590126991268,-5.61477088928223,1.89682042598724,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
45,47,48,11,1,L,L,ball,SL,87.7,-16.0409560203552,1.41666662693024,21.50679016113276,3.28598523139954,1.5900000333786,1,1,-2.2258632183075,8.224981069564825,-2.637534856796268,-6.9681568145752,2.89554762840271,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Top,1
46,48,49,11,1,L,L,single,SI,91.6,7.772631168365484,1.41666662693024,27.731105804443324,3.46700000762939,1.58899998664856,2,1,-2.22889995574951,5.329652667045588,-12.392685413360642,-5.96152257919312,0.353901982307434,93.2,-5.45,335.898620605469,27.9366989135742,5969.86865234375,9.77657699584961,18.4283123016357,0.0025042779743671,Other,0,Hit,1,0,2,Top,1
